Precio	Expensas	Calle	Altura	Piso	Detalles	Descripción	Link	Amenities	Losa_Central	Aire_Acond	Apto_Credito	Cochera	Seguridad	Luminoso	Balcon_Aterrazado
USD 280.000	+ $300.000	Honduras	3900	2º	87 m² cubie. 2 dorm. 20 años	Sin descripción	https://www.argenprop.com/departamento-en-venta-en-palermo-viejo-4-ambientes--9070214	0	0	0	0	0	0	0	0
USD 270.000	+ $597.000	Honduras	4600	6	65 m² cubie. 2 dorm. 2 años	Sin descripción	https://www.argenprop.com/departamento-en-venta-en-palermo-3-ambientes--20184538	0	0	0	0	0	0	0	0
USD 180.000	+ $180.000	Jerónimo Salguero	1900	PB	65 m² cubie. 2 dorm. 1 baño	Sin descripción	https://www.argenprop.com/departamento-en-venta-en-palermo-3-ambientes--18784904	0	0	0	0	0	0	0	0
USD 545.000	+ $600.000	Avenida Cabildo	100	0	109 m² cubie. 2 dorm. 3 años	Sin descripción	https://www.argenprop.com/departamento-en-venta-en-palermo-3-ambientes--20188194	0	0	0	0	0	0	0	0
USD 259.000	+ $360.000	Avenida Santa Fe	4400	8	91 m² cubie. 10 m² Semicubierta 3 dorm.	Sin descripción	https://www.argenprop.com/departamento-en-venta-en-palermo-soho-4-ambientes--20158554	0	0	0	0	0	0	0	0
USD 59.000	+ $140.000	Emilio Mitre	400	16°	28 m² cubie. 1 dorm. 1 baño	Sin descripción	https://www.argenprop.com/departamento-en-venta-en-caballito-2-ambientes--12724220	0	0	0	0	0	0	0	0
USD 158.000	+ $200.000	Avenida Acoyte	200	0	78 m² cubie. 2 dorm. 1 baño	Sin descripción	https://www.argenprop.com/departamento-en-venta-en-caballito-norte-3-ambientes--19731733	0	0	0	0	0	0	0	0
USD 240.000	+ $330.000	Avenida Directorio	600	9	3 dorm. 2 baños 4 ambientes	Sin descripción	https://www.argenprop.com/departamento-en-venta-en-caballito-4-ambientes--19620697	0	0	0	0	0	0	0	0
USD 113.076	N/A	Francisco Acuña De Figueroa	1200	7	30 m² cubie. A estrenar 1 baño	Sin descripción	https://www.argenprop.com/departamento-en-venta-en-palermo-1-ambiente--16661693	0	0	0	0	0	0	0	0
USD 170.000	+ $126.992	Avenida Cerviño	3200	0	38 m² cubie. 1 dorm. 56 años	Sin descripción	https://www.argenprop.com/departamento-en-venta-en-palermo-chico-1-ambiente--20163564	0	0	0	0	0	0	0	0
